resume_text,job_description,match_score,match_label
"Machine Learning Specialist with 2 years working across active teams. Demonstrated technical execution and history background includes: AI, Worked with K8s in minor capacity, Cloud Infrastructure (AWS). Seeking an engineering position to scale architectural patterns.","We are looking for a Senior ML Engineer with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: Py3 Engine, Statistical Modeling, Artificial Intelligence, K8s, Docker Containers, AWS Cloud Platform. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.1806,low
"MERN Stack Engineer bringing over 7 years of industry experience along with a verified Masters degree. Expert competencies cover React.js web apps, Next.js setups, Node.js runtimes, and Express. Proven success track record in crafting highly interactive responsive web dashboards and distributed server systems.","Seeking a skilled Senior iOS/Android Mobile Developer to join our growing team. Key responsibilities include managing offline caching synchronization pipelines and publishing builds across app marketplaces. Must be fully comfortable handling tools like React Native modules, native bridge architectures, and offline mobile synchronization in a fast-paced environment.",0.6537,medium
"Data Scientist with 2 years working across active teams. Demonstrated technical execution and history background includes: Python, Relational DB Engine, Advanced optimization execution for Machine Learning, Deep Learning Architectures, AWS. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior Data Scientist with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: Python, Postgres, ML, AI, AWS. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.931,high
"Performance Marketing Specialist bringing over 6 years of industry experience along with a verified Masters degree. Expert competencies cover Google Analytics 4, Meta Ads Manager, SEO tracking, and HubSpot CRM. Proven success track record in orchestrating viral cross-channel customer engagement and lead generation campaigns.","Seeking a skilled Senior Backend Engineer to join our growing team. Key responsibilities include designing high-throughput message brokers and backend streaming infrastructures. Must be fully comfortable handling tools like Java, Spring Boot framework, microservices decoupling, and Apache Kafka streams in a fast-paced environment.",0.3309,low
"Digital Marketing Manager bringing over 11 years of industry experience along with a verified Masters degree. Expert competencies cover PPC ad operations, growth analytics, conversion rate optimization (CRO), and SEM templates. Proven success track record in analyzing performance marketing key funnels to optimize cost-per-acquisition (CPA) targets.","Seeking a skilled Server-Side Developer to join our growing team. Key responsibilities include designing high-throughput message brokers and backend streaming infrastructures. Must be fully comfortable handling tools like Node.js, Redis caching mechanisms, fault-tolerant RESTful API design, and multi-region AWS configs in a fast-paced environment.",0.2949,low
"Executive Pastry Chef bringing over 12 years of industry experience along with a verified Bachelors degree. Expert competencies cover Kitchen management, menu engineering, and food safety protocols. Proven success track record in supervising high-pressure fine dining operations and shifts to ensure quality control.","Seeking a skilled Statistical Modeling Specialist to join our growing team. Key responsibilities include extracting tabular feature data matrices to surface corporate risk exposures. Must be fully comfortable handling tools like Python scripting, R modeling, advanced SQL queries, and Apache Airflow pipelines in a fast-paced environment.",0.1184,low
"Senior Full Stack Web Developer bringing over 4 years of industry experience along with a verified Bachelors degree. Expert competencies cover TypeScript backend scaling, system refactoring, and state containers. Proven success track record in optimizing website page vitals and state management caching layers.","Seeking a skilled Mobile Systems App Engineer to join our growing team. Key responsibilities include managing offline caching synchronization pipelines and publishing builds across app marketplaces. Must be fully comfortable handling tools like App Store deployment pathways, mobile push notification setups, and local SQLite syncs in a fast-paced environment.",0.6932,medium
"Statistical Researcher with 2 years working across active teams. Demonstrated technical execution and history background includes: Academic projects utilizing Python, PgSQL, ML, AI. Seeking an engineering position to scale architectural patterns.","We are looking for a Lead Product Analyst with a minimum of 5+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, Postgres, Machine Learning, AI, AWS Cloud Platform. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.6737,medium
"Culinary Kitchen Director bringing over 6 years of industry experience along with a verified Diploma. Expert competencies cover High-volume catering logistics, French classical culinary techniques, and inventory control. Proven success track record in optimizing kitchen line speed configurations and recipe yields.","Seeking a skilled Senior Data Scientist to join our growing team. Key responsibilities include driving critical product decisions via robust hypothesis experimental designs. Must be fully comfortable handling tools like dbt data warehousing modeling, Snowflake, Pandas analytics, and statistical hypothesis tracking in a fast-paced environment.",0.0806,low
"Modern JavaScript Systems Engineer bringing over 10 years of industry experience along with a verified Professional Certification. Expert competencies cover TypeScript application scaling, component modular patterns, and performance tuning. Proven success track record in abstracting core layout state patterns into reusable, contextually driven modular hooks.","Seeking a skilled Mobile UI App Lead to join our growing team. Key responsibilities include optimizing responsive visual components to enforce smooth multi-device execution footprints. Must be fully comfortable handling tools like Mobile UI render optimization configurations, component lifecycles, and component scaling metrics in a fast-paced environment.",0.9298,high
